"No 및 소계","1차사업소","2차사업소","3차사업소","4차사업소","사용량","사용금액","사용량","사용금액","사용량","사용금액"
"1","한국전력","","","","71888","7912030","0","0","13927.74","1753907"
"한국전력 소계","","","","","71888","7912030","0","0","13927.74","1753907"
"2","전력그리드본부","","","","24404","4280350","0","0","0","0"
"전력그리드본부 소계","","","","","24404","4280350","0","0","0","0"
"3","인재개발원","","","","472485","70486300","0","0","0","0"
"인재개발원 소계","","","","","472485","70486300","0","0","0","0"
"4","수안보연수원","","","","226278","29430870","0","0","0","0"
"수안보연수원 소계","","","","","226278","29430870","0","0","0","0"
"5","전력연구원","","","","27756","8307020","0","0","0","0"
"6","전력연구원","기획관리실","","","1823123","306437200","0","0","0","0"
"전력연구원 소계","","","","","1850879","314744220","0","0","0","0"
"7","경영지원처","장비관리부","","","28999","3881150","0","0","0","0"
"8","경영지원처","사옥관리부","","","6548392","789679280","0","0","0","0"
"경영지원처 소계","","","","","6577391","793560430","0","0","0","0"
"9","자재검사처","","","","265627","126544290","0","0","0","0"
"자재검사처 소계","","","","","265627","126544290","0","0","0","0"
"10","경기북부본부","","","","532485","62109320","0","0","1577.36","224430"
"11","경기북부본부","구리전력지사","","","115662","12057940","0","0","0","0"
"12","경기북부본부","양평지사","","","101743","14584360","0","0","0","0"
"13","경기북부본부","구리지사","","","136266","15128370","0","0","2232.36","293961"
"14","경기북부본부","동두천지사","","","92969","14229760","0","0","5298.8","646348"
"15","경기북부본부","포천지사","","","78322","9470900","0","0","0","0"
"16","경기북부본부","포천지사","고객지원부","수요","3757","153280","0","0","441.16","64319"
"17","경기북부본부","연천지사","","","48022","4974980","0","0","0","0"
"18","경기북부본부","파주지사","","","82991","9980120","0","0","0","0"
"19","경기북부본부","고양지사","","","110773","9496010","0","0","0","0"
"20","경기북부본부","가평지사","","","51568","6245060","0","0","253.63","36517"
"21","경기북부본부","남양주지사","","","91455","12818660","0","0","11435.2","1382005"
"22","경기북부본부","전력사업처","","","72052","12537480","0","0","0","0"
"23","경기북부본부","전력사업처","배전운영부","구리배전센터","32945","4095170","0","0","0","0"
"24","경기북부본부","전력관리처","","","262686","38492420","0","0","0","0"
"25","경기북부본부","기획관리실","","","23625","3717430","0","0","0","0"
"26","경기북부본부","기획관리실","재무자재부","회계센터","152","584700","0","0","0","0"
"경기북부본부 소계","","","","","1837473","230675960","0","0","21238.51","2647580"
"27","남서울본부","","","","26","970","0","0","0.6","98"
"28","남서울본부","영등포전력지사","","","6723","1335300","0","0","0","0"
"29","남서울본부","강동송파지사","","","69149","13041990","0","0","0","0"
"30","남서울본부","강동송파지사","전력공급부","내선계기파트","118","5060","0","0","0","0"
"31","남서울본부","강동송파지사","배전운영부","지중보수파트","156","5570","0","0","0","0"
"32","남서울본부","강서양천지사","","","89417","10649980","0","0","0","0"
"33","남서울본부","관악동작지사","","","85365","11013860","0","0","1442.91","181048"
"34","남서울본부","전력사업처","","","410766","58209890","0","0","0","0"
"35","남서울본부","전력관리처","","","14843","697040","0","0","6626.09","943241"
"36","남서울본부","기획관리실","","","2738","93440","0","0","1818.02","272987"
"남서울본부 소계","","","","","679301","95053100","0","0","9887.62","1397374"
"37","경기본부","군포전력지사","","","87494","12739830","0","0","0","0"
"38","경기본부","성남전력지사","","","212308","24799950","0","0","0","0"
"39","경기본부","성남지사","","","116388","15901130","0","0","0","0"
"40","경기본부","하남지사","","","62431","8076120","0","0","0","0"
"41","경기본부","광명지사","","","53207","8675570","0","0","0","0"
"42","경기본부","평택지사","","","114398","12851160","0","0","0","0"
"43","경기본부","안산지사","","","112468","13626630","0","0","0","0"
"44","경기본부","안양지사","","","88689","9601290","0","0","0","0"
"45","경기본부","동용인지사","","","90426","10219600","0","0","0","0"
"46","경기본부","이천지사","","","57748","8252850","0","0","0","0"
"47","경기본부","안성지사","","","72276","7759600","0","0","0","0"
"48","경기본부","오산지사","","","89998","10151180","0","0","0","0"
"49","경기본부","여주지사","","","82779","8497830","0","0","0","0"
"50","경기본부","광주지사","","","68162","9330550","0","0","0","0"
"51","경기본부","화성지사","","","54520","8730220","0","0","0","0"
"52","경기본부","서수원지사","","","73988","10021430","0","0","0","0"
"53","경기본부","서평택지사","","","22564","4665670","0","0","0","0"
"54","경기본부","서용인지사","","","73224","11470750","0","0","0","0"
"55","경기본부","전력사업처","","","51126","6102220","0","0","0","0"
"56","경기본부","전력관리처","","","289419","33774490","0","0","0","0"
"57","경기본부","기획관리실","","","353715","43657570","0","0","0","0"
"58","경기본부","동부전력지사","","","53583","6635460","0","0","0","0"
"59","경기본부","평택전력지사","","","49598","8172060","0","0","0","0"
"경기본부 소계","","","","","2330509","293713160","0","0","0","0"
"60","서울본부","성동전력지사","","","567538","70970910","0","0","0","0"
"61","서울본부","동대문중랑지사","","","121636","13238740","0","0","275.31","43021"
"62","서울본부","광진성동지사","","","188088","19628040","0","0","22537.38","3404244"
"63","서울본부","노원도봉지사","","","147295","17788680","0","0","8436.24","1183407"
"64","서울본부","서대문은평지사","","","68259","7873450","0","0","0","0"
"65","서울본부","강북성북지사","","","175929","21630510","0","0","0","0"
